label,input
gastroesophageal reflux disease,"I regularly wake up with a scratchy voice or a sore throat. My throat is constantly irritated, and I have horrible breath. I frequently throw up."
gastroesophageal reflux disease,"It feels like food or acid is backing up in my throat. My chest discomfort only becomes worse while I'm lying down. After eating, I frequently have heartburn or indigestion and throw up."
gastroesophageal reflux disease,"After eating, I frequently feel unwell and throw up the entire meal. I suffer from painful acid reflux and excruciating stomach discomfort all the time."
gastroesophageal reflux disease,"Especially after eating, my throat frequently feels scorching. I occasionally get a bitter or sour aftertaste that makes me feel sick."
gastroesophageal reflux disease,"I have heartburn and indigestion. I regularly throw up everything I eat, and swallowing is difficult for me since food gets stuck in my throat. I'm experiencing pain in my upper abdomen."
gastroesophageal reflux disease,"I always get a sour taste in my mouth, even when I don't have anything acidic in my stomach. I regularly have the hiccups and a knot in my throat."
gastroesophageal reflux disease,"I occasionally have trouble swallowing food because of the tingling in my throat, terrible breath, and bad taste in my mouth."
gastroesophageal reflux disease,"I frequently have indigestion and heartburn, especially after eating spicy or fatty foods. My chest hurts when I lean forward or while I'm lying down. Additionally, my chest hurts a lot."
gastroesophageal reflux disease,I regularly feel sick after eating and puke up the entire meal. I constantly get horrible acid reflux agony and stomach discomfort.
gastroesophageal reflux disease,"My throat often feels like it's on fire, especially after eating. I occasionally get an aftertaste that is sour or bitter and makes me feel nauseous."
drug reaction,"I have headaches and migraines, have been having difficulty sleeping. I have been having muscle twitching and tremors. Sometimes I get lightheaded"
drug reaction,I have fever and feel very dizzy and lightheaded. My heart is beating very fast and I feel very confused. I am not able to think very clearing and everything feels very foggy
drug reaction,I have rashes on my skin and these flake off from time to time. This leaves me prone to infection. My fingers start twitching and sometimes I experience tremors.
drug reaction,I feel very nauseous and have chest pain. Recently I have been experiencing chest pain. I feel very uneasy and often sweat profusely
drug reaction,"I have itching all over my body, and rashes in my chest and back. I get flaky skin from time to time and often this leaves marks on my body."
drug reaction,I have hair loss and there is a significant change in the texture of my hair. I have  dry and itchy sclap and increased dandruff. My skin is also getting very dry
drug reaction,I am experiencing a decrease in my sex drive and difficulty to fucntion sexually. I feel very light headed and confused and often experince brain fog
drug reaction,I am experiencing changes in my menstrual cycle and unexpected vaginal discharge. I often get mood swings and feel agitated from time to time
drug reaction,I have experinenced significant weight gain and become very obese. I have changes in my appetite and cravings for different foods
drug reaction,I have difficulty in maintianing concentration and very low mental clarity. I often forget things and in general have difficulty remembering things
drug reaction,"In addition to experiencing a change in taste and fragrance, I also have a metallic aftertaste in my tongue. occasionally get excruciating joint and muscular pain"
drug reaction,"I suffer migraines and headaches, and I've been having trouble falling asleep. My muscles have been trembling and twitching. I sometimes feel dizzy."
drug reaction,"I'm feeling really lightheaded and dizzy when I have a temperature. My mind is completely muddled, and my heart is racing. I find it difficult to think clearly, and everything seems quite hazy."
drug reaction,"My skin occasionally peels off the rashes that I have. This makes me more vulnerable to infections. My hands begin to shake, and occasionally I have tremors."
drug reaction,I have severe nausea and chest discomfort. I have been having chest discomfort lately. I often shiver a lot and feel really nervous.
drug reaction,"I have rashes in my chest and back and itch all over my body. I occasionally have flaky skin, which frequently creates markings on my body."
drug reaction,"My hair's texture has significantly changed, and I'm experiencing hair loss. My scalp is dry and itching, and my dandruff is becoming worse. My skin is also becoming really dry."
drug reaction,"My sex desire has decreased, and I'm finding it harder to function sexually. I regularly have brain fog and feel quite dizzy and disoriented."
drug reaction,"My monthly cycle has changed, and I've had an unexpected vaginal discharge. I frequently experience mood swings and experience occasional agitation."
drug reaction,"I've gained a lot of weight and am now quite fat. My appetite varies, and I have desires for various things."
drug reaction,"I struggle to maintain focus, and my mental clarity is really poor. I have trouble remembering things and frequently forget stuff."
drug reaction,My tongue also has a metallic aftertaste in addition to a change in taste and scent. occasionally get acute muscle and joint ache
